endTime,artistName,trackName,msPlayed
5/6/19 18:19,PUP,Free at Last,7234
5/6/19 18:19,PUP,Kids,210160
5/6/19 18:23,PUP,Scorpion Hill,1093
5/6/19 18:23,PUP,See You at Your Funeral,220133
5/6/19 18:23,PUP,Closure,1130
5/6/19 18:26,PUP,"Bloody Mary, Kate and Ashley",164040
5/6/19 18:29,PUP,Sibling Rivalry,207840
5/6/19 18:32,PUP,Full Blown Meltdown,152973
5/6/19 18:36,PUP,Bare Hands,215306
5/6/19 18:38,PUP,City,111231
5/6/19 23:56,PUP,Factories,269040
5/6/19 23:59,PUP,Dark Days,206786
5/7/19 0:01,PUP,Mabu,128613
5/7/19 0:04,PUP,"If This Tour Doesn't Kill You, I Will",138813
5/7/19 0:06,PUP,DVP,148893
5/7/19 0:08,PUP,You Don't Get Me High Anymore (triple j Like A Version),78397
5/7/19 21:01,PUP,Dark Days,206786
5/7/19 21:03,PUP,Lionheart,161000
5/7/19 21:07,PUP,Cul-De-Sac,202280
5/7/19 21:09,PUP,Back Against the Wall,146360
5/7/19 21:15,PUP,Factories,269040
5/7/19 21:15,PUP,Guilt Trip,3562
5/7/19 21:19,PUP,Reservoir,196666
5/7/19 21:22,PUP,Mabu,128613
5/7/19 21:25,PUP,Never Try,226106
5/7/19 21:31,PUP,Yukon,326040
5/7/19 21:34,PUP,Dark Days,206786
5/7/19 23:32,PUP,Lionheart,735
5/7/19 23:35,PUP,Dark Days,206786
5/7/19 23:38,PUP,Lionheart,161000
5/7/19 23:39,PUP,Cul-De-Sac,51541
5/7/19 23:42,PUP,Doubts,180346
5/7/19 23:45,PUP,Sleep In The Heat,201520
5/7/19 23:47,PUP,The Coast,119850
5/8/19 17:02,The Ballroom Thieves,Archers,156853
5/8/19 17:04,The Ballroom Thieves,Lantern,95840
5/8/19 22:49,The Ballroom Thieves,Lantern,99778
5/8/19 22:52,The Ballroom Thieves,Bullet,196133
5/8/19 22:55,The Ballroom Thieves,Saint Monica,154533
5/8/19 22:59,The Ballroom Thieves,Wild Woman,239720
5/8/19 23:02,The Ballroom Thieves,Oars to the Sea,199000
5/8/19 23:06,The Ballroom Thieves,Bury Me Smiling,236120
5/8/19 23:14,The Ballroom Thieves,The Loneliness Waltz,255040
5/8/19 23:27,The Ballroom Thieves,Here I Stand,220386
5/8/19 23:31,The Ballroom Thieves,Anchors,237666
5/8/19 23:36,The Ballroom Thieves,Oak,275706
5/8/19 23:38,The Ballroom Thieves,Wolf,157906
5/8/19 23:41,The Ballroom Thieves,Loose Lips,195186
5/8/19 23:44,Birdtalker,Heavy,151428
5/9/19 17:09,Shawn Mendes,If I Can't Have You,190800
5/9/19 17:13,Halsey,Without Me,201660
5/9/19 17:16,Billie Eilish,bad guy,194087
5/9/19 17:18,Avicii,SOS,157202
